! ./halo_21537_model_06_02.txt
! R    D    M    P
2000
1.131051e-01 8.299868e+00 1.186362e-01 -3.357975e+00
1.142243e-01 8.140285e+00 1.201296e-01 -3.347633e+00
1.153434e-01 7.984995e+00 1.216234e-01 -3.337365e+00
1.164625e-01 7.833847e+00 1.231176e-01 -3.327170e+00
1.175817e-01 7.686698e+00 1.246121e-01 -3.317047e+00
1.187008e-01 7.543409e+00 1.261067e-01 -3.306996e+00
1.198200e-01 7.403850e+00 1.276016e-01 -3.297014e+00
1.209391e-01 7.267894e+00 1.290965e-01 -3.287101e+00
1.220583e-01 7.135421e+00 1.305915e-01 -3.277257e+00
1.231774e-01 7.006314e+00 1.320865e-01 -3.267481e+00
1.242966e-01 6.880463e+00 1.335815e-01 -3.257771e+00
1.254157e-01 6.757761e+00 1.350764e-01 -3.248127e+00
1.265348e-01 6.638106e+00 1.365712e-01 -3.238549e+00
1.276540e-01 6.521400e+00 1.380659e-01 -3.229035e+00
1.287731e-01 6.407548e+00 1.395603e-01 -3.219584e+00
1.298923e-01 6.296461e+00 1.410545e-01 -3.210196e+00
1.310114e-01 6.188051e+00 1.425483e-01 -3.200871e+00
1.321306e-01 6.082234e+00 1.440419e-01 -3.191607e+00
1.332497e-01 5.978930e+00 1.455350e-01 -3.182403e+00
1.343689e-01 5.878062e+00 1.470278e-01 -3.173260e+00
1.354880e-01 5.779555e+00 1.485201e-01 -3.164176e+00
1.366071e-01 5.683339e+00 1.500119e-01 -3.155150e+00
1.377263e-01 5.589343e+00 1.515032e-01 -3.146182e+00
1.388454e-01 5.497502e+00 1.529940e-01 -3.137272e+00
1.399646e-01 5.407752e+00 1.544842e-01 -3.128419e+00
1.410837e-01 5.320030e+00 1.559737e-01 -3.119621e+00
1.422029e-01 5.234279e+00 1.574626e-01 -3.110879e+00
1.433220e-01 5.150440e+00 1.589509e-01 -3.102191e+00
1.444412e-01 5.068459e+00 1.604384e-01 -3.093558e+00
1.455603e-01 4.988282e+00 1.619251e-01 -3.084979e+00
1.466794e-01 4.909859e+00 1.634111e-01 -3.076452e+00
1.477986e-01 4.833138e+00 1.648963e-01 -3.067978e+00
1.489177e-01 4.758073e+00 1.663807e-01 -3.059555e+00
1.500369e-01 4.684618e+00 1.678642e-01 -3.051184e+00
1.511560e-01 4.612728e+00 1.693469e-01 -3.042864e+00
1.522752e-01 4.542360e+00 1.708286e-01 -3.034594e+00
1.533943e-01 4.473472e+00 1.723094e-01 -3.026374e+00
1.545135e-01 4.406024e+00 1.737893e-01 -3.018203e+00
1.556326e-01 4.339978e+00 1.752681e-01 -3.010080e+00
1.567517e-01 4.275295e+00 1.767460e-01 -3.002006e+00
1.578709e-01 4.211940e+00 1.782228e-01 -2.993979e+00
1.589900e-01 4.149877e+00 1.796986e-01 -2.986000e+00
1.601092e-01 4.089072e+00 1.811734e-01 -2.978067e+00
1.612283e-01 4.029493e+00 1.826470e-01 -2.970181e+00
1.623475e-01 3.971108e+00 1.841195e-01 -2.962340e+00
1.634666e-01 3.913885e+00 1.855909e-01 -2.954544e+00
1.645858e-01 3.857795e+00 1.870612e-01 -2.946794e+00
1.657049e-01 3.802810e+00 1.885303e-01 -2.939087e+00
1.668240e-01 3.748900e+00 1.899982e-01 -2.931425e+00
1.679432e-01 3.696040e+00 1.914648e-01 -2.923806e+00
1.690623e-01 3.644202e+00 1.929303e-01 -2.916231e+00
