! /home/ngc/Work/research/Illustris-BFE/notebooks/halo_21537_model.txt
! R    D    M    P
2000
1.119860e-01 8.467110e+00 1.171240e-01 -3.368721e+00
1.131051e-01 8.303049e+00 1.186176e-01 -3.358306e+00
1.142243e-01 8.143437e+00 1.201116e-01 -3.347966e+00
1.153434e-01 7.988116e+00 1.216060e-01 -3.337700e+00
1.164625e-01 7.836937e+00 1.231008e-01 -3.327507e+00
1.175817e-01 7.689756e+00 1.245958e-01 -3.317385e+00
1.187008e-01 7.546435e+00 1.260911e-01 -3.307334e+00
1.198200e-01 7.406844e+00 1.275865e-01 -3.297354e+00
1.209391e-01 7.270856e+00 1.290821e-01 -3.287442e+00
1.220583e-01 7.138350e+00 1.305777e-01 -3.277599e+00
1.231774e-01 7.009211e+00 1.320733e-01 -3.267824e+00
1.242966e-01 6.883328e+00 1.335689e-01 -3.258115e+00
1.254157e-01 6.760593e+00 1.350645e-01 -3.248472e+00
1.265348e-01 6.640906e+00 1.365599e-01 -3.238895e+00
1.276540e-01 6.524167e+00 1.380552e-01 -3.229381e+00
1.287731e-01 6.410283e+00 1.395502e-01 -3.219931e+00
1.298923e-01 6.299164e+00 1.410450e-01 -3.210544e+00
1.310114e-01 6.190721e+00 1.425395e-01 -3.201219e+00
1.321306e-01 6.084872e+00 1.440337e-01 -3.191956e+00
1.332497e-01 5.981536e+00 1.455275e-01 -3.182753e+00
1.343689e-01 5.880636e+00 1.470210e-01 -3.173610e+00
1.354880e-01 5.782098e+00 1.485139e-01 -3.164526e+00
1.366071e-01 5.685850e+00 1.500064e-01 -3.155501e+00
1.377263e-01 5.591823e+00 1.514984e-01 -3.146534e+00
1.388454e-01 5.499951e+00 1.529898e-01 -3.137624e+00
1.399646e-01 5.410170e+00 1.544806e-01 -3.128770e+00
1.410837e-01 5.322418e+00 1.559709e-01 -3.119973e+00
1.422029e-01 5.236636e+00 1.574604e-01 -3.111231e+00
1.433220e-01 5.152768e+00 1.589493e-01 -3.102543e+00
1.444412e-01 5.070757e+00 1.604375e-01 -3.093910e+00
1.455603e-01 4.990550e+00 1.619250e-01 -3.085331e+00
1.466794e-01 4.912097e+00 1.634116e-01 -3.076804e+00
1.477986e-01 4.835348e+00 1.648975e-01 -3.068330e+00
1.489177e-01 4.760254e+00 1.663826e-01 -3.059907e+00
1.500369e-01 4.686770e+00 1.678668e-01 -3.051536e+00
1.511560e-01 4.614852e+00 1.693501e-01 -3.043216e+00
1.522752e-01 4.544456e+00 1.708325e-01 -3.034946e+00
1.533943e-01 4.475540e+00 1.723140e-01 -3.026725e+00
1.545135e-01 4.408065e+00 1.737945e-01 -3.018554e+00
1.556326e-01 4.341992e+00 1.752741e-01 -3.010431e+00
1.567517e-01 4.277283e+00 1.767526e-01 -3.002357e+00
1.578709e-01 4.213901e+00 1.782302e-01 -2.994330e+00
1.589900e-01 4.151812e+00 1.797067e-01 -2.986350e+00
1.601092e-01 4.090982e+00 1.811821e-01 -2.978417e+00
1.612283e-01 4.031377e+00 1.826564e-01 -2.970530e+00
1.623475e-01 3.972966e+00 1.841296e-01 -2.962689e+00
1.634666e-01 3.915719e+00 1.856017e-01 -2.954893e+00
1.645858e-01 3.859605e+00 1.870726e-01 -2.947142e+00
1.657049e-01 3.804595e+00 1.885424e-01 -2.939435e+00
1.668240e-01 3.750661e+00 1.900110e-01 -2.931772e+00
1.679432e-01 3.697777e+00 1.914784e-01 -2.924153e+00
1.690623e-01 3.645916e+00 1.929445e-01 -2.916576e+00
1.701815e-01 3.595052e+00 1.944094e-01 -2.909043e+00
1.713006e-01 3.545161e+00 1.958731e-01 -2.901551e+00
1.724198e-01 3.496219e+00 1.973355e-01 -2.894102e+00
1.735389e-01 3.448203e+00 1.987966e-01 -2.886693e+00
1.746581e-01 3.401090e+00 2.002563e-01 -2.879326e+00
1.757772e-01 3.354859e+00 2.017148e-01 -2.872000e+00
1.768963e-01 3.309487e+00 2.031719e-01 -2.864713e+00
1.780155e-01 3.264955e+00 2.046277e-01 -2.857467e+00
1.791346e-01 3.221243e+00 2.060821e-01 -2.850260e+00
1.802538e-01 3.178330e+00 2.075351e-01 -2.843092e+00
1.813729e-01 3.136200e+00 2.089867e-01 -2.835963e+00
1.824921e-01 3.094832e+00 2.104369e-01 -2.828872e+00
1.836112e-01 3.054210e+00 2.118857e-01 -2.821819e+00
1.847304e-01 3.014315e+00 2.133331e-01 -2.814804e+00
1.858495e-01 2.975133e+00 2.147790e-01 -2.807827e+00
1.869686e-01 2.936645e+00 2.162235e-01 -2.800886e+00
1.880878e-01 2.898836e+00 2.176665e-01 -2.793982e+00
1.892069e-01 2.861692e+00 2.191080e-01 -2.787114e+00
